boardid,roundNo,streamid,programid,categoryid,subcategoryid,sequenceKey,tseat,aseat,rankType
1002,1,01,ARC,01,NO,ARC-01-01-NO,1,0,08
1002,1,01,ARC,01,PH,ARC-01-01-PH,0,0,08
1002,1,01,ARC,02,NO,ARC-01-02-NO,0,0,08
1002,1,01,ARC,02,PH,ARC-01-02-PH,0,0,08
1002,1,01,ARC,04,NO,ARC-01-04-NO,1,0,08
1002,1,01,ARC,04,PH,ARC-01-04-PH,0,0,08
1002,1,01,ARC,05,NO,ARC-01-05-NO,0,0,08
1002,1,01,ARC,05,PH,ARC-01-05-PH,1,0,08
1002,1,01,ARC,06,NO,ARC-01-06-NO,1,0,08
1002,1,01,ARC,06,PH,ARC-01-06-PH,0,0,08
1002,1,01,ARC,35,NO,ARC-01-35-NO,0,0,08
1002,1,01,ARC,35,PH,ARC-01-35-PH,0,0,08
1002,1,03,AEI,01,NO,AEI-01-01-NO,0,0,07
1002,1,03,AEI,01,PH,AEI-01-01-PH,0,0,07
1002,1,03,AEI,02,NO,AEI-01-02-NO,0,0,07
1002,1,03,AEI,02,PH,AEI-01-02-PH,0,0,07
1002,1,03,AEI,04,NO,AEI-01-04-NO,0,0,07
1002,1,03,AEI,04,PH,AEI-01-04-PH,0,0,07
1002,1,03,AEI,05,NO,AEI-01-05-NO,0,0,07
1002,1,03,AEI,05,PH,AEI-01-05-PH,0,0,07
1002,1,03,AEI,06,NO,AEI-01-06-NO,1,0,07
1002,1,03,AEI,06,PH,AEI-01-06-PH,0,0,07
1002,1,03,AEI,35,NO,AEI-01-35-NO,0,0,07
1002,1,03,AEI,35,PH,AEI-01-35-PH,1,0,07
1002,1,03,CSS,01,NO,CSS-01-01-NO,4,0,07
1002,1,03,CSS,01,PH,CSS-01-01-PH,0,0,07
1002,1,03,CSS,02,NO,CSS-01-02-NO,2,0,07
1002,1,03,CSS,02,PH,CSS-01-02-PH,0,0,07
1002,1,03,CSS,04,NO,CSS-01-04-NO,3,0,07
1002,1,03,CSS,04,PH,CSS-01-04-PH,0,0,07
1002,1,03,CSS,05,NO,CSS-01-05-NO,3,0,07
1002,1,03,CSS,05,PH,CSS-01-05-PH,0,0,07
1002,1,03,CSS,06,NO,CSS-01-06-NO,3,0,07
1002,1,03,CSS,06,PH,CSS-01-06-PH,0,0,07
1002,1,03,CSS,35,NO,CSS-01-35-NO,3,0,07
1002,1,03,CSS,35,PH,CSS-01-35-PH,0,0,07
1002,1,03,CVE,01,NO,CVE-01-01-NO,3,0,07
1002,1,03,CVE,01,PH,CVE-01-01-PH,0,0,07
1002,1,03,CVE,02,NO,CVE-01-02-NO,1,0,07
1002,1,03,CVE,02,PH,CVE-01-02-PH,0,0,07
1002,1,03,CVE,04,NO,CVE-01-04-NO,2,0,07
1002,1,03,CVE,04,PH,CVE-01-04-PH,0,0,07
1002,1,03,CVE,05,NO,CVE-01-05-NO,2,0,07
1002,1,03,CVE,05,PH,CVE-01-05-PH,0,0,07
1002,1,03,CVE,06,NO,CVE-01-06-NO,3,0,07
1002,1,03,CVE,06,PH,CVE-01-06-PH,0,0,07
1002,1,03,CVE,35,NO,CVE-01-35-NO,3,0,07
1002,1,03,CVE,35,PH,CVE-01-35-PH,0,0,07
1002,1,03,ECE,01,NO,ECE-01-01-NO,3,0,07
1002,1,03,ECE,01,PH,ECE-01-01-PH,0,0,07
1002,1,03,ECE,02,NO,ECE-01-02-NO,2,0,07
1002,1,03,ECE,02,PH,ECE-01-02-PH,0,0,07
1002,1,03,ECE,04,NO,ECE-01-04-NO,2,0,07
1002,1,03,ECE,04,PH,ECE-01-04-PH,1,0,07
1002,1,03,ECE,05,NO,ECE-01-05-NO,3,0,07
1002,1,03,ECE,05,PH,ECE-01-05-PH,0,0,07
1002,1,03,ECE,06,NO,ECE-01-06-NO,4,0,07
1002,1,03,ECE,06,PH,ECE-01-06-PH,0,0,07
1002,1,03,ECE,35,NO,ECE-01-35-NO,3,0,07
1002,1,03,ECE,35,PH,ECE-01-35-PH,0,0,07
1002,1,03,EEE,01,NO,EEE-01-01-NO,3,0,07
1002,1,03,EEE,01,PH,EEE-01-01-PH,0,0,07
1002,1,03,EEE,02,NO,EEE-01-02-NO,2,0,07
1002,1,03,EEE,02,PH,EEE-01-02-PH,0,0,07
1002,1,03,EEE,04,NO,EEE-01-04-NO,3,0,07
1002,1,03,EEE,04,PH,EEE-01-04-PH,0,0,07
1002,1,03,EEE,05,NO,EEE-01-05-NO,3,0,07
1002,1,03,EEE,05,PH,EEE-01-05-PH,0,0,07
1002,1,03,EEE,06,NO,EEE-01-06-NO,3,0,07
1002,1,03,EEE,06,PH,EEE-01-06-PH,0,0,07
1002,1,03,EEE,35,NO,EEE-01-35-NO,2,0,07
